# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
-5.000000,-5.000000,0.000000,1.102398,0.688999,0.000000,0.000000,0.031116,0.058114
-5.000000,-4.473684,0.000000,1.134639,0.634502,0.000000,0.000000,0.048110,0.054178
-5.000000,-3.947368,0.000000,1.165807,0.575234,0.000000,0.000000,0.065314,0.048318
-5.000000,-3.421053,0.000000,1.195295,0.511146,0.000000,0.000000,0.081821,0.038819
-5.000000,-2.894737,0.000000,1.222434,0.442328,0.000000,0.000000,0.095975,0.025125
-5.000000,-2.368421,0.000000,1.246520,0.369036,0.000000,0.000000,0.105879,0.007595
-5.000000,-1.842105,0.000000,1.266849,0.291709,0.000000,0.000000,0.109895,-0.012587
-5.000000,-1.315789,0.000000,1.282765,0.210981,0.000000,0.000000,0.107118,-0.033698
-5.000000,-0.789474,0.000000,1.293716,0.127669,0.033754,0.174516,0.097635,-0.054072
-5.000000,-0.263158,0.000000,1.299297,0.042740,0.062515,0.094168,0.082400,-0.073108
-5.000000,0.263158,0.000000,1.299297,-0.042740,0.082400,0.073108,0.062515,-0.094168
-5.000000,0.789474,0.000000,1.293716,-0.127669,0.097635,0.054072,0.033754,-0.174516
-5.000000,1.315789,0.000000,1.282765,-0.210981,0.107118,0.033698,0.000000,0.000000
-5.000000,1.842105,0.000000,1.266849,-0.291709,0.109895,0.012587,0.000000,0.000000
-5.000000,2.368421,0.000000,1.246520,-0.369036,0.105879,-0.007595,0.000000,0.000000
-5.000000,2.894737,0.000000,1.222434,-0.442328,0.095975,-0.025125,0.000000,0.000000
-5.000000,3.421053,0.000000,1.195295,-0.511146,0.081821,-0.038819,0.000000,0.000000
-5.000000,3.947368,0.000000,1.165807,-0.575234,0.065314,-0.048318,0.000000,0.000000
-5.000000,4.473684,0.000000,1.134639,-0.634502,0.048110,-0.054178,0.000000,0.000000
-5.000000,5.000000,0.000000,1.102398,-0.688999,0.031116,-0.058114,0.000000,0.000000
-4.473684,-5.000000,0.000000,1.080493,0.722865,0.000000,0.000000,0.037827,0.077951
-4.473684,-4.473684,0.000000,1.115433,0.667689,0.000000,0.000000,0.062154,0.074734
-4.473684,-3.947368,0.000000,1.149514,0.607138,0.000000,0.000000,0.087764,0.068727
-4.473684,-3.421053,0.000000,1.182047,0.541078,0.000000,0.000000,0.113299,0.057032
-4.473684,-2.894737,0.000000,1.212246,0.469532,0.000000,0.000000,0.135974,0.038472
-4.473684,-2.368421,0.000000,1.239261,0.392724,0.000000,0.000000,0.152378,0.013410
-4.473684,-1.842105,0.000000,1.262224,0.311112,0.000000,0.000000,0.159434,-0.016214
-4.473684,-1.315789,0.000000,1.280309,0.225407,0.000000,0.000000,0.155391,-0.047317
-4.473684,-0.789474,0.000000,1.292807,0.136564,0.043471,0.237940,0.140440,-0.076744
-4.473684,-0.263158,0.000000,1.299195,0.045746,0.086015,0.130173,0.116514,-0.102967
-4.473684,0.263158,0.000000,1.299195,-0.045746,0.116514,0.102967,0.086015,-0.130173
-4.473684,0.789474,0.000000,1.292807,-0.136564,0.140440,0.076744,0.043471,-0.237940
-4.473684,1.315789,0.000000,1.280309,-0.225407,0.155391,0.047317,0.000000,0.000000
-4.473684,1.842105,0.000000,1.262224,-0.311112,0.159434,0.016214,0.000000,0.000000
-4.473684,2.368421,0.000000,1.239261,-0.392724,0.152378,-0.013410,0.000000,0.000000
-4.473684,2.894737,0.000000,1.212246,-0.469532,0.135974,-0.038472,0.000000,0.000000
-4.473684,3.421053,0.000000,1.182047,-0.541078,0.113299,-0.057032,0.000000,0.000000
-4.473684,3.947368,0.000000,1.149514,-0.607138,0.087764,-0.068727,0.000000,0.000000
-4.473684,4.473684,0.000000,1.115433,-0.667689,0.062154,-0.074734,0.000000,0.000000
-4.473684,5.000000,0.000000,1.080493,-0.722865,0.037827,-0.077951,0.000000,0.000000
-3.947368,-5.000000,0.000000,1.055146,0.759386,0.000000,0.000000,0.045623,0.106049
-3.947368,-4.473684,0.000000,1.092994,0.703822,0.000000,0.000000,0.081080,0.105128
-3.947368,-3.947368,0.000000,1.130294,0.642212,0.000000,0.000000,0.120229,0.100343
-3.947368,-3.421053,0.000000,1.166268,0.574299,0.000000,0.000000,0.161169,0.086573
-3.947368,-2.894737,0.000000,1.200000,0.500000,0.000000,0.000000,0.199133,0.061208
-3.947368,-2.368421,0.000000,1.230463,0.419476,0.000000,0.000000,0.227728,0.024298
-3.947368,-1.842105,0.000000,1.256578,0.333184,0.000000,0.000000,0.240804,-0.020946
-3.947368,-1.315789,0.000000,1.277294,0.241912,0.000000,0.000000,0.234727,-0.068766
-3.947368,-0.789474,0.000000,1.291687,0.146783,0.056571,0.332372,0.209894,-0.112929
-3.947368,-0.263158,0.000000,1.299068,0.049207,0.121616,0.185047,0.170425,-0.149925
-3.947368,0.263158,0.000000,1.299068,-0.049207,0.170425,0.149925,0.121616,-0.185047
-3.947368,0.789474,0.000000,1.291687,-0.146783,0.209894,0.112929,0.056571,-0.332372
-3.947368,1.315789,0.000000,1.277294,-0.241912,0.234727,0.068766,0.000000,0.000000
-3.947368,1.842105,0.000000,1.256578,-0.333184,0.240804,0.020946,0.000000,0.000000
-3.947368,2.368421,0.000000,1.230463,-0.419476,0.227728,-0.024298,0.000000,0.000000
-3.947368,2.894737,0.000000,1.200000,-0.500000,0.199133,-0.061208,0.000000,0.000000
-3.947368,3.421053,0.000000,1.166268,-0.574299,0.161169,-0.086573,0.000000,0.000000
-3.947368,3.947368,0.000000,1.130294,-0.642212,0.120229,-0.100343,0.000000,0.000000
-3.947368,4.473684,0.000000,1.092994,-0.703822,0.081080,-0.105128,0.000000,0.000000
-3.947368,5.000000,0.000000,1.055146,-0.759386,0.045623,-0.106049,0.000000,0.000000
-3.421053,-5.000000,0.000000,1.025705,0.798705,0.000000,0.000000,0.054070,0.146436
-3.421053,-4.473684,0.000000,1.066642,0.743152,0.000000,0.000000,0.106719,0.151117
-3.421053,-3.947368,0.000000,1.107467,0.680820,0.000000,0.000000,0.168380,0.151018
-3.421053,-3.421053,0.000000,1.147319,0.611277,0.000000,0.000000,0.236858,0.136692
-3.421053,-2.894737,0.000000,1.185134,0.534282,0.000000,0.000000,0.303961,0.102105
-3.421053,-2.368421,0.000000,1.219675,0.449880,0.000000,0.000000,0.357098,0.045849
-3.421053,-1.842105,0.000000,1.249594,0.358490,0.000000,0.000000,0.383057,-0.026803
-3.421053,-1.315789,0.000000,1.273536,0.260971,0.000000,0.000000,0.373568,-0.104464
-3.421053,-0.789474,0.000000,1.290284,0.158641,0.074304,0.478087,0.329464,-0.174055
-3.421053,-0.263158,0.000000,1.298910,0.053234,0.177794,0.272235,0.260152,-0.227646
-3.421053,0.263158,0.000000,1.298910,-0.053234,0.260152,0.227646,0.177794,-0.272235
-3.421053,0.789474,0.000000,1.290284,-0.158641,0.329464,0.174055,0.074304,-0.478087
-3.421053,1.315789,0.000000,1.273536,-0.260971,0.373568,0.104464,0.000000,0.000000
-3.421053,1.842105,0.000000,1.249594,-0.358490,0.383057,0.026803,0.000000,0.000000
-3.421053,2.368421,0.000000,1.219675,-0.449880,0.357098,-0.045849,0.000000,0.000000
-3.421053,2.894737,0.000000,1.185134,-0.534282,0.303961,-0.102105,0.000000,0.000000
-3.421053,3.421053,0.000000,1.147319,-0.611277,0.236858,-0.136692,0.000000,0.000000
-3.421053,3.947368,0.000000,1.107467,-0.680820,0.168380,-0.151018,0.000000,0.000000
-3.421053,4.473684,0.000000,1.066642,-0.743152,0.106719,-0.151117,0.000000,0.000000
-3.421053,5.000000,0.000000,1.025705,-0.798705,0.054070,-0.146436,0.000000,0.000000
-2.894737,-5.000000,0.000000,0.991394,0.840915,0.000000,0.000000,0.061781,0.205320
-2.894737,-4.473684,0.000000,1.035545,0.785905,0.000000,0.000000,0.141431,0.222431
-2.894737,-3.947368,0.000000,1.080179,0.723334,0.000000,0.000000,0.241845,0.235506
-2.894737,-3.421053,0.000000,1.124366,0.652534,0.000000,0.000000,0.362366,0.226502
-2.894737,-2.894737,0.000000,1.166893,0.573028,0.000000,0.000000,0.489313,0.180893
-2.894737,-2.368421,0.000000,1.206275,0.484664,0.000000,0.000000,0.596576,0.091788
